fips,
01-47001,Anderson
01-47003,Bedford
01-47005,Benton
01-47007,Bledsoe
01-47009,Blount
01-47011,Bradley
01-47013,Campbell
01-47015,Cannon
01-47017,Carroll
01-47019,Carter
01-47021,Cheatham
01-47023,Chester
01-47025,Claiborne
01-47027,Clay
01-47029,Cocke
01-47031,Coffee
01-47033,Crockett
01-47035,Cumberland
01-47037,Davidson
01-47039,Decatur
01-47041,De Kalb
01-47043,Dickson
01-47045,Dyer
01-47047,Fayette
01-47049,Fentress
01-47051,Franklin
01-47053,Gibson
01-47055,Giles
01-47057,Grainger
01-47059,Greene
01-47061,Grundy
01-47063,Hamblen
01-47065,Hamilton
01-47067,Hancock
01-47069,Hardeman
01-47071,Hardin
01-47073,Hawkins
01-47075,Haywood
01-47077,Henderson
01-47079,Henry
01-47081,Hickman
01-47083,Houston
01-47085,Humphreys
01-47087,Jackson
01-47089,Jefferson
01-47091,Johnson
01-47093,Knox
01-47095,Lake
01-47097,Lauderdale
01-47099,Lawrence
01-47101,Lewis
01-47103,Lincoln
01-47105,Loudon
01-47107,McMinn
01-47109,McNairy
01-47111,Macon
01-47113,Madison
01-47115,Marion
01-47117,Marshall
01-47119,Maury
01-47121,Meigs
01-47123,Monroe
01-47125,Montgomery
01-47127,Moore
01-47129,Morgan
01-47131,Obion
01-47133,Overton
01-47135,Perry
01-47137,Pickett
01-47139,Polk
01-47141,Putnam
01-47143,Rhea
01-47145,Roane
01-47147,Robertson
01-47149,Rutherford
01-47151,Scott
01-47153,Sequatchie
01-47155,Sevier
01-47157,Shelby
01-47159,Smith
01-47161,Stewart
01-47163,Sullivan
01-47165,Sumner
01-47167,Tipton
01-47169,Trousdale
01-47171,Unicoi
01-47173,Union
01-47175,Van Buren
01-47177,Warren
01-47179,Washington
01-47181,Wayne
01-47183,Weakley
01-47185,White
01-47187,Williamson
01-47189,Wilson
