school_x,nces_id,city,address,zip,district,grades,school_type,student_count,salary_link,school_type2
Alpha Elementary,470000100477,Morristown,5620 Old Us 11e Hwy,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG']",Public,606.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
East Ridge Middle School,470000100479,Whitesburg,,,,,,,,
Fairview Marguerite,470000100480,Morristown,2125 Fairview Rd,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,490.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Manley Elementary,470000100481,Morristown,,,,,,,,
Russellville Elementary,470000100483,Russellville,5655 Old Russellville Pike,37860,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,624.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Union Heights Elementary,470000100485,Morristown,,,,,,,,
Whitesburg Elementary,470000100487,Whitesburg,,,,,,,,
Witt Elementary,470000100488,Morristown,,,,,,,,
Hamblen County Alternative School,470000101268,Morristown,,,,,,,,
West View Middle School,470000101271,Morristown,,,,,,,,
Hillcrest Elementary,470000101929,Morristown,407 S Liberty Hill Rd,37813,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,604.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
John Hay Elementary,470000101930,Morristown,501 Brittain Court,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG']",Public,266.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Lincoln Heights Elementary,470000101931,Morristown,215 Lincoln Ave,37813,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,525.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Lincoln Heights Middle School,470000101933,Morristown,,,,,,,,
Meadowview Middle School,470000101934,Morristown,1623 Meadowview Ln,37814,Hamblen County,"['6', '7', '8']",Public,627.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Middle']
Morristown East High,470000101935,Morristown,One Hurricane Ln,37813,Hamblen County,"['10', '11', '12', '9']",Public,1572.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['High']
Morristown West High,470000101936,Morristown,One Trojan TRL,37813,Hamblen County,"['10', '11', '12', '9']",Public,1506.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['High']
West Elementary,470000101937,Morristown,235 W Converse,37814,Hamblen County,"['1', '2', '3', '4', '5', 'KG', 'PK']",Public,432.0,https://drive.google.com/file/d/1gOmzE-qHfhDrALaZ7fyOf0HUXMvrVmVy/view,['Elementary']
Alamo Elementary,470003000001,Alamo,,,,,,,,
Alcoa Elementary,470006000234,Alcoa,,,,,,,,
Alcoa High School,470006000235,Alcoa,,,,,,,,
Alcoa Middle School,470006000236,Alcoa,,,,,,,,
Alcoa Intermediate School,470006002445,Alcoa,,,,,,,,
Anderson County Career Technical Center,470009000003,Clinton,140 Maverick CIR,37716,Anderson County,"['10', '11', '12', '9']",Public,0.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['High']
Andersonville Elementary,470009000004,Andersonville,,,,,,,,
Briceville Elementary,470009000005,Briceville,,,,,,,,
Claxton Elementary,470009000006,Powell,,,,,,,,
Clinton Middle School,470009000007,Clinton,110 N Hicks St,37716,Anderson County,"['6', '7', '8']",Public,609.0,https://drive.google.com/file/d/1KYG9WFyK8Z4bQnQcX1W2BBlIIBdjXAsO/view,['Middle']
Clinton High School,470009000008,Clinton,,,,,,,,
